name,league,rank,prev_rank,off,def,spi
Sevilla Atletico,Spanish Segunda Division,429,430,0.8,1.7,25.7
US Quevilly,French Ligue 2,430,431,1.0,2.0,25.7
Chicago Fire,Major League Soccer,431,415,1.0,2.0,25.6
PEC Zwolle,Dutch Eredivisie,432,432,1.0,2.0,25.6
Vancouver Whitecaps,Major League Soccer,433,434,1.0,2.0,25.6
Carpi,Italy Serie B,434,433,0.5,1.3,25.3
Lillestrom,Norwegian Tippeligaen,435,436,0.8,1.8,24.8
Orlando City SC,Major League Soccer,436,435,1.1,2.1,24.5
Reading,English League Championship,437,438,0.9,1.9,24.2
Energiya Khabarovsk,Russian Premier Liga,438,439,0.8,1.7,24.0
St. Pölten,Austrian T-Mobile Bundesliga,439,440,0.9,1.9,23.7
San Jose Earthquakes,Major League Soccer,440,437,0.9,2.0,23.6
Minnesota United FC,Major League Soccer,441,441,1.0,2.2,23.2
St Johnstone,Scottish Premiership,442,443,0.8,1.8,22.6
Stabaek,Norwegian Tippeligaen,443,444,0.9,2.0,22.4
IK Sirius,Swedish Allsvenskan,444,452,1.0,2.2,22.4
VVV Venlo,Dutch Eredivisie,445,445,0.8,1.9,22.4
Viking FK,Norwegian Tippeligaen,446,446,0.9,2.1,22.1
Tours,French Ligue 2,447,447,0.9,2.1,22.1
Pro Vercelli,Italy Serie B,448,448,0.8,2.0,22.0
Colorado Rapids,Major League Soccer,449,449,0.8,1.9,21.9
GFC Ajaccio,French Ligue 2,450,450,0.8,2.0,21.4
Dalkurd FF,Swedish Allsvenskan,451,442,0.9,2.2,21.0
Trelleborgs FF,Swedish Allsvenskan,452,451,0.8,2.1,20.0
Vasby United,Swedish Allsvenskan,453,453,0.7,2.0,20.0
Sparta,Dutch Eredivisie,454,454,1.0,2.5,19.7
Motherwell,Scottish Premiership,455,455,0.6,1.8,19.4
Ross County,Scottish Premiership,456,456,0.7,2.0,17.8
Bourg-Peronnas,French Ligue 2,457,457,1.0,2.6,17.8
Hamilton Academical,Scottish Premiership,458,458,0.7,2.2,15.7
Sandefjord,Norwegian Tippeligaen,459,459,0.6,2.3,14.2
Dundee,Scottish Premiership,460,460,0.5,2.0,13.9
IK Start,Norwegian Tippeligaen,461,461,0.6,2.2,13.8
Brommapojkarna,Swedish Allsvenskan,462,462,0.5,2.3,12.3
Partick Thistle,Scottish Premiership,463,463,0.3,2.0,11.2
Karabükspor,Turkish Turkcell Super Lig,464,464,0.5,2.5,11.1
